age,study_hours,attendance_rate,assignments_submitted,parental_support,internet_access,gender,school_type,extracurricular_hours,sleep_hours,final_grade
19.0,12.606539055304044,99.93269593044388,0.0,1.0,1.0,Female,Private,4.675618679438223,9.710849715613314,4.65685717943586
15.0,1.0814188810095064,97.22344764057704,,1.0,1.0,Female,Private,6.4945559591238124,6.488781066329069,1.4638813051968835
17.0,14.880645158452737,50.13354966838317,1.0,4.0,0.0,Male,Private,0.4843104891970246,9.298099476596718,13.195474500685732
18.0,11.292143705532462,89.76891556651799,9.0,,,Male,Public,,6.689407799302402,24.20136896633996
18.0,23.44411096151338,67.68026381182429,4.0,5.0,0.0,Female,Public,8.276423387503174,9.200973232607875,20.357068850601223
20.0,12.072774895400158,53.18256851673137,7.0,3.0,0.0,Female,,1.5723934068099772,4.7855593569691575,15.04837633143768
21.0,9.511783182106946,64.7991606858104,8.0,4.0,1.0,Male,Public,,7.821126560611055,25.414910849827614
16.0,17.53966334981008,66.08682581564811,8.0,5.0,0.0,,Private,14.753291233166618,8.07222108903488,25.075330928965798
,11.697763159962085,76.16221196545284,0.0,1.0,0.0,Female,Private,8.895861396058846,7.937024183718565,1.7244650749070747
14.0,11.102718993738838,83.05418836344273,0.0,3.0,1.0,Female,Private,4.371073303497682,6.682165708236062,3.7771962312732494
16.0,17.54750691412203,87.4527806104204,0.0,3.0,1.0,Male,Public,6.395184920489912,8.103496660184774,16.113284411747884
20.0,9.797663460552169,62.29515212816334,0.0,,0.0,,Private,3.8771216915300237,5.436778604899558,27.294541994905003
14.0,,66.08852851242484,,1.0,0.0,Male,Private,0.47706385679309404,7.5750915669825165,17.846820700209612
19.0,23.629990010471687,65.41908534298676,0.0,3.0,1.0,Female,Private,12.63045048228081,7.325409546695975,19.29816963486406
16.0,17.897493688003223,68.13684340604382,6.0,5.0,0.0,Female,Private,4.38717962561994,5.910037132782562,26.128759356107963
16.0,13.678953575028174,99.98281544781693,5.0,3.0,1.0,Female,Public,12.576161082825179,8.673182853887376,21.27360441511567
21.0,,88.89716514137129,8.0,1.0,1.0,Female,Private,7.178356000708851,4.485232392752086,6.482191876206823
,17.52932179058078,98.74952326343485,8.0,1.0,1.0,Male,Private,2.743419554214408,5.02863796775242,17.012643658220743
18.0,19.8666872480671,84.65555297735287,3.0,2.0,0.0,Female,Private,12.028030398069879,6.826900237716627,22.552995912231523
14.0,11.22012354342494,70.31353508236421,8.0,5.0,0.0,Female,,,9.350420187550574,31.054300750925815
15.0,16.83073262982841,69.48720918134875,5.0,4.0,1.0,Female,Private,10.615937817099306,7.450957327167684,21.846002730828744
15.0,12.466479118948808,74.42905724875226,4.0,3.0,0.0,Female,Private,12.558445035430987,9.052401105635159,8.425456937586977
16.0,14.055093777436879,70.84348916822186,8.0,1.0,1.0,Female,Private,14.444784845157805,7.10541831488556,16.603228471100955
21.0,15.803464337324524,91.41631230463729,6.0,3.0,0.0,,Private,1.2872179887936293,8.712735811665675,20.837541057340353
19.0,14.96660713473664,73.25010065133465,,3.0,0.0,Male,Private,0.12579722760655998,5.954784368473751,22.52993035440715
16.0,18.677834491512858,64.7807180105423,4.0,4.0,,Female,Private,,8.890853903125828,21.446232843934343
20.0,17.43543279557797,88.74301343483259,,1.0,0.0,Male,Private,3.963614428125002,6.410116423394612,22.43759849857397
18.0,7.459153953139111,92.72102046906973,9.0,2.0,0.0,Male,Public,7.036526846153644,7.352986968471137,15.216224912557038
21.0,8.210883964672789,71.02144780702257,2.0,5.0,0.0,Male,Public,1.089880307341612,5.055288949180966,16.711787070531376
20.0,13.151416576203536,83.3904285952766,4.0,3.0,1.0,Male,Private,7.5238357001003955,,14.451266781018758
14.0,24.143126312209127,,8.0,4.0,0.0,Female,Private,1.872834797672106,8.20875471662365,23.732582900749446
20.0,10.742040837491988,76.47324259857334,2.0,4.0,1.0,Female,Public,12.578816372985768,9.153128914896273,16.98845053959933
21.0,13.958886451936236,52.2490568872754,0.0,5.0,,Female,Public,11.392302039546852,5.247177442932594,17.762742374824832
16.0,12.31826986521739,51.459542024723405,1.0,5.0,0.0,Male,Public,1.1111036732586321,4.406106131615418,20.884364463696954
20.0,12.229778079559601,80.64624252613694,9.0,1.0,0.0,Female,Public,12.545255320919013,6.023255579866088,3.449951830618147
19.0,,,,3.0,1.0,Male,Private,4.874377386369339,7.100112345729591,15.63081754026048
