age,income,days_active,num_transactions,avg_transaction,account_balance,region,signup_channel,churn
56.0,101171.3338964174,241.0,16.0,58.11668947327032,26502.2737644959,South,Mobile,0
69.0,,313.0,25.0,118.38055362178272,16968.55346265353,North,,0
,94605.95616023606,231.0,19.0,26.35227561877133,,,Web,0
32.0,48749.681148905576,276.0,23.0,46.12933486386267,114740.53161569384,West,Store,0
60.0,,283.0,23.0,0.1887721127805834,77826.15159884097,North,Web,1
25.0,63295.802191297465,202.0,17.0,8.01134324421848,28943.932656271063,North,Store,0
78.0,70273.70754022543,246.0,24.0,756.9355945842468,100572.57604773353,North,,0
38.0,,289.0,22.0,55.50772370288581,61439.58211131615,East,Store,0
56.0,69586.12736606144,,17.0,,22096.380221922853,South,Web,0
75.0,65798.34185548157,213.0,23.0,365.39407060259396,-4285.146021273202,South,Referral,0
36.0,107884.28831704901,199.0,23.0,,13526.612986984943,South,,0
40.0,,78.0,22.0,33.245040221713374,,East,Mobile,0
28.0,40671.744594961565,342.0,25.0,260.4762765559322,36848.06714381134,South,Web,0
28.0,100679.11155924576,343.0,13.0,183.3838909455822,-5000.0,East,Mobile,0
41.0,37811.436917119434,172.0,12.0,262.79517849262686,147413.5998626307,South,Web,0
70.0,40522.581649988715,68.0,,293.71498733338643,21547.52566494034,North,Mobile,0
53.0,34544.3790183626,86.0,18.0,741.0860750956957,-5000.0,West,Mobile,0
,,100.0,20.0,170.4582587156467,16009.587669750585,West,Web,1
41.0,69995.19884519474,7.0,,,-5000.0,East,Web,0
20.0,52262.9350636937,332.0,24.0,209.08894779211514,,South,Mobile,0
39.0,5000.0,199.0,10.0,14.179088025243026,43275.78914715883,West,Mobile,0
70.0,51952.10814151462,86.0,19.0,455.3782418741062,96627.17048866142,,Mobile,0
19.0,44462.63232583097,42.0,16.0,25.426044514091533,-5000.0,,Store,0
41.0,86784.76092896565,,,79.45261872182058,22720.647698251745,North,Store,0
61.0,43102.24165618911,151.0,17.0,338.28733539966345,-5000.0,East,Referral,0
47.0,,16.0,16.0,181.91882998802512,76119.58255397716,East,Store,0
55.0,101903.80736310728,132.0,18.0,100.05480440500165,61509.69443520976,South,Store,0
19.0,48302.68826970666,147.0,20.0,128.2763500917089,59664.401682205666,North,Web,0
77.0,94488.69236499247,276.0,21.0,385.5809943812893,20129.52250855529,South,Referral,0
38.0,75756.35138072843,231.0,12.0,83.10441790580774,53181.831263103275,South,Referral,0
,67003.97389440729,313.0,16.0,407.50594411876443,148347.12866468768,North,Store,0
,84079.56766822288,227.0,21.0,18.452540431865653,-2807.540563361119,South,Web,0
75.0,61622.12622781459,138.0,17.0,299.93600934920937,31091.614696806762,West,Web,0
39.0,67210.53468232433,210.0,17.0,,-5000.0,East,Referral,0
78.0,84700.57548836895,27.0,22.0,40.13400978604373,-5000.0,South,Web,0
,121573.5822523647,,23.0,112.54541091223675,27825.063447464592,North,Mobile,0
42.0,67535.84916659023,260.0,10.0,36.18445317094126,108314.68373615257,East,Store,0
66.0,46386.10005083532,260.0,23.0,245.24649725810823,-502.4659401257959,East,Mobile,0
44.0,5000.0,349.0,25.0,153.29320830147915,,South,Referral,0
76.0,,351.0,16.0,201.74883988342467,-5000.0,West,Referral,0
59.0,52102.74862284121,7.0,,43.75237471907455,-5000.0,South,,1
45.0,76044.27870243801,319.0,,47.586946206738915,43597.71645670572,West,,0
77.0,117177.21710780982,137.0,25.0,8.47658524266528,-5000.0,East,Referral,0
33.0,,37.0,19.0,77.74152108726405,,South,Referral,0
32.0,54159.89214367561,110.0,13.0,164.08008104736268,-5000.0,North,Mobile,0
79.0,102590.18932631233,219.0,20.0,,,South,Mobile,0
79.0,73822.11202691757,,22.0,219.87898744673112,-5000.0,West,Web,0
64.0,77583.16814170202,,23.0,114.32625026334031,73507.21044369746,West,Mobile,0
79.0,14305.17388584718,135.0,30.0,612.0333147728695,73755.5686251598,South,Web,0
68.0,96177.45621727756,255.0,17.0,254.05471809986167,,West,Web,0
61.0,,359.0,,532.3245734224552,-5000.0,East,Store,0
,18852.318608306283,328.0,10.0,,39963.85516784616,South,Web,0
69.0,74552.82334839825,48.0,31.0,59.92509564292686,-5000.0,West,Mobile,0
74.0,5000.0,291.0,19.0,10.854637839706188,-221.06040769482934,South,Referral,1
20.0,130259.25607538986,323.0,16.0,258.9873795004468,,South,Referral,0
54.0,26944.35600054718,77.0,18.0,25.863029670177056,83736.15416565936,North,Mobile,1
68.0,108353.78297155307,,24.0,72.12945844751538,21214.63540323465,South,Referral,0
24.0,35611.3335564404,,16.0,152.05874061283876,-5000.0,,Web,1
38.0,76806.77132912159,216.0,20.0,166.21379379017117,71647.01697393548,West,Referral,0
26.0,32636.15230171504,118.0,16.0,183.54995764944994,21550.49901584202,North,Mobile,1
56.0,89913.4566569346,189.0,21.0,36.36561499915391,-5000.0,North,Referral,0
35.0,52940.43774278244,,14.0,95.52247000015245,82610.38610532145,,Web,0
21.0,74033.38638623129,265.0,23.0,192.04550776807392,18061.373290424628,East,Web,0
42.0,60451.93144736984,148.0,22.0,700.1076413056926,116196.09983864578,North,Mobile,0
77.0,19030.05640549033,163.0,23.0,260.11960399530597,-5000.0,South,,1
